MakerBot, NEON ORANGE, PLA (POLYLACTIC ACID), 8.1 ounces, 1.75 millimeters, https://www.amazon.com/MakerBot-Filament-Diameter-Small-Orange/dp/B00KCYGVUC/ref=sr_1_176?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-176
Orange_ Light, CLEAR, [     ], 8.7 ounces, [     ], https://www.amazon.com/Orange_light-Plastic-Replacement-Edison-Bulbs/dp/B0816WLWHS/ref=sr_1_177?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-177
RepRapper, ORANGE, PLA, 1.10 pounds, 1.75 millimeters millimeters, https://www.amazon.com/REPRAPPER-Orange-Printing-Filament-1-75mm/dp/B07Y51H21V/ref=sr_1_181?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-181
MorphPen, ORANGE, ABS, [     ], 1.75 millimeters, https://www.amazon.com/MorphPen-Filament-1-75mm-Printing-H-Orange/dp/B01FGKKWRE/ref=sr_1_182?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-182
JG AURORA, ORANGE, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/JGAURORA-Printer-Filament-1-75mm-Orange/dp/B07TP8XPGD/ref=sr_1_185?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-185
3D Solutech, ORANGE, ABS, 2.75 pounds, 1.75 millimeters millimeters, https://www.amazon.com/3D-Solutech-Orange-Printer-Filament/dp/B00N3FQ9AO/ref=sr_1_186?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-186
[     ], [     ], [     ], [     ], [     ], https://www.amazon.com/MakerBot-Filament-Diameter-Spool-Orange/dp/B00IUHLYFK/ref=sr_1_189?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-189
[     ], [     ], [     ], [     ], [     ], https://www.amazon.com/MakerBot-Filament-Diameter-Spool-Orange/dp/B00IUHLYFK/ref=sr_1_189?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-189
AMZ3D, ORANGE, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/1-75mm-Orange-PLA-Printer-Filament/dp/B01CX9TBSM/ref=sr_1_193?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-193
WYZworks, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 3.00 millimeters millimeters, https://www.amazon.com/WYZWorks-Printer-Filament-Orange-Markerbot/dp/B00K60262Y/ref=sr_1_196?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-196
