NinjaTek, LAVA (ORANGE), TPE (THERMOPLASTIC ELASTOMER), 1.10 pounds, 1.75 millimeters, https://www.amazon.com/NinjaTek-3DNF05117505-NinjaFlex-Filament-TPE-5kg/dp/B078JCZS7F/ref=sr_1_140?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-140
Sunlite, ORANGE, GLASS, 9.5 ounces, [     ], https://www.amazon.com/Sunlite-40975-Filament-Transparent-Lightbulb/dp/B07D2SHBZ7/ref=sr_1_142?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-142
Gizmo Dorks, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 3.00 millimeters, https://www.amazon.com/Gizmo-Dorks-Filament-Printers-Fluorescent/dp/B00ITZQ7BO/ref=sr_1_143?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-143
RepRapper, ORANGE, HIPS, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/REPRAPPER-Printing-Orange-Filament-1-75mm/dp/B07Y53T94P/ref=sr_1_144?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-144
Polymaker, ORANGE, [     ], 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Polymaker-PolyLite-Printer-Filament-Packaging/dp/B07MNWNS6J/ref=sr_1_145?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-145
Filatech, LUMIN D. ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Filatech-Printing-Filament-Virgin-Material/dp/B07B4XC97Y/ref=sr_1_146?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-146
uxcell, ORANGE, PLA, 1.10 pounds, 1.75 millimeters, https://www.amazon.com/uxcell-Printer-Filament-Dimensional-Accuracy/dp/B07YJVVQQL/ref=sr_1_147?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-147
win-tinten, GREY, ORANGE, GREEN, YELLOW, BLACK, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Filament-Printer-Printing-Accuracy-Friendly/dp/B08888L5YS/ref=sr_1_149?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-149
RepRapper, ORANGE, PLA, 1.10 pounds, 1.75 millimeters, https://www.amazon.com/REPRAPPER-Orange-Printing-Filament-1-75mm/dp/B07Y51H21V/ref=sr_1_150?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-150
ZORTRAX, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Z-ABS-Filamento-impresi%C3%B3n-color-naranja/dp/B00QT8HCMG/ref=sr_1_153?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-153
MEPERPER, ORANGE, POLYLACTIC ACID, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Printer-PLA-Filament-Biodegradable-Dimensional/dp/B085JQP7W1/ref=sr_1_154?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-154
Polymaker, ORANGE, TPU(THERMOPLASTIC POLYURETHANES), 1.65 pounds, 3.00 millimeters, https://www.amazon.com/PolyFlex-1-75-mm-750g-Orange/dp/B00YSYFKEK/ref=sr_1_155?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-155
HATCHBOX, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 3.00 millimeters, https://www.amazon.com/HATCHBOX-3D-Filament-Dimensional-Accuracy/dp/B01A1BHM0I/ref=sr_1_157?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-157
RepRapper, ORANGE, FLEX, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/REPRAPPER-Orange-Printing-Filament-1-75mm/dp/B07Y4VRX1M/ref=sr_1_158?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-158
Gizmo Dorks, ORANGE, PLA, 2.85 pounds, 1.75 millimeters, https://www.amazon.com/Gizmo-Dorks-Filament-Printers-Translucent/dp/B00FG7BZFQ/ref=sr_1_161?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-161
Eolas Prints, ORANGE, TPU+, [     ], 1.75 millimeters, https://www.amazon.com/EOLAS-PRINTS-Premium-Filament-Accuracy/dp/B07VLMVPS3/ref=sr_1_162?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-162
HZST3D, SHINY ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Orange-Filament-Printer-Printing-Materials/dp/B07TW59T5V/ref=sr_1_165?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-165
RepRapper, ORANGE, PETG, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/REPRAPPER-Orange-Printing-Filament-1-75mm/dp/B07Y4ZMYS2/ref=sr_1_166?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-166
[     ], ORANGE, PLA, 2.20 pounds, 3.00 millimeters, https://www.amazon.com/Makergear-Solidoodle-Ultimaker-Flashforge-840249113075/dp/B00VDT9GX4/ref=sr_1_169?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-169
Gizmo Dorks, ORANGE, HIPS, 2.85 pounds, 1.75 millimeters, https://www.amazon.com/Gizmo-Dorks-1-75mm-Filament-Printers/dp/B00GU2O062/ref=sr_1_170?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-170
